filename,parent
P1_4A2 top rows scan CD31 555 INS 680_C00000.png,P1_4A2 top rows scan CD31 555 INS 680
P1_4A2 top rows scan CD31 555 INS 680_C10000.png,P1_4A2 top rows scan CD31 555 INS 680
P1_4A2_CD31 555_C00000.png,P1_4A2_CD31 555
P1_4A2_CD31_555_INS_680 stack_C00000.png,P1_4A2_CD31_555_INS_680 stack
P1_4A2_CD31_555_INS_680 stack_C10000.png,P1_4A2_CD31_555_INS_680 stack
P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection_C00000.png,P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection
P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection_C10000.png,P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection
P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection_C20000.png,P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection
P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection_C30000.png,P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection
P1_4A_1_stack_KRT19_555_INS_680_C00000.png,P1_4A_1_stack_KRT19_555_INS_680
P1_4A_1_stack_KRT19_555_INS_680_C10000.png,P1_4A_1_stack_KRT19_555_INS_680
P1_4A_1_stack_KRT19_555_INS_680_Maximum intensity projection_C00000.png,P1_4A_1_stack_KRT19_555_INS_680_Maximum intensity projection
P1_4A_1_stack_KRT19_555_INS_680_Maximum intensity projection_C10000.png,P1_4A_1_stack_KRT19_555_INS_680_Maximum intensity projection
P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch_C00000.png,P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch
P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch_C10000.png,P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch
P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch_C20000.png,P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch
P1_4A_GCG_KRT19_CD31_INS stack adj_C00000.png,P1_4A_GCG_KRT19_CD31_INS stack adj
P1_4A_GCG_KRT19_CD31_INS stack adj_C10000.png,P1_4A_GCG_KRT19_CD31_INS stack adj
P1_4A_GCG_KRT19_CD31_INS stack adj_C20000.png,P1_4A_GCG_KRT19_CD31_INS stack adj
P1_4A_GCG_KRT19_CD31_INS stack adj_C30000.png,P1_4A_GCG_KRT19_CD31_INS stack adj
