filename,parent
P1_19A AF_CD310000.png,P1_19A AF_CD31
P1_19A1 INS tile_Stitch.png,P1_19A1 INS tile_Stitch
P1_19A1 KRT green INS white stack 2x_Maximum intensity projection0000.png,P1_19A1 KRT green INS white stack 2x_Maximum intensity projection
P1_19A1 KRT green INS white stack 2x_Maximum intensity projection0001.png,P1_19A1 KRT green INS white stack 2x_Maximum intensity projection
P1_19A1 KRT green INS white stack 2x_z005_c001.png,P1_19A1 KRT green INS white stack 2x
P1_19A1 KRT green INS white stack 2x_z005_c002.png,P1_19A1 KRT green INS white stack 2x
P1_19A1 KRT green INS white stack_z001_c001.png,P1_19A1 KRT green INS white stack
P1_19A1 KRT green INS white stack_z001_c002.png,P1_19A1 KRT green INS white stack
P1_19A2 CD31 red INS white stack 2_Maximum intensity projection0000.png,P1_19A2 CD31 red INS white stack 2_Maximum intensity projection
P1_19A2 CD31 red INS white stack 2_Maximum intensity projection0001.png,P1_19A2 CD31 red INS white stack 2_Maximum intensity projection
P1_19A2 CD31 red INS white stack 2_z001_c001.png,P1_19A2 CD31 red INS white stack 2
P1_19A2 CD31 red INS white stack 2_z001_c002.png,P1_19A2 CD31 red INS white stack 2
P1_19A2 CD31 red INS white stack_Maximum intensity projection0000.png,P1_19A2 CD31 red INS white stack_Maximum intensity projection
P1_19A2 CD31 red INS white stack_Maximum intensity projection0001.png,P1_19A2 CD31 red INS white stack_Maximum intensity projection
P1_19A2 CD31 red INS white stack_z001_c001.png,P1_19A2 CD31 red INS white stack
P1_19A2 CD31 red INS white stack_z001_c002.png,P1_19A2 CD31 red INS white stack
P1_19A2 INS tile scan_Stitch.png,P1_19A2 INS tile scan_Stitch
P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling0000.png,P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling
